seq,display_name,source,custom,welcome_message
101,微光Lab,华科飞跃手册,true,你好，欢迎问我关于3+2后续深造、Optics PhD申请和面试准备的问题。
102,枫叶加零,华科飞跃手册,true,你好，欢迎问我关于加拿大研究型硕士、Mitacs暑研和全奖申请的问题。
103,蔷薇花开Lv,华科飞跃手册,true,你好，欢迎问我关于法国工程师学校、IOGS光学项目和中法班申请的问题。
104,甜筒翻转ss,华科飞跃手册,true,你好，欢迎问我关于转专业申请教育技术、文书策略和海外交流经历的问题。
105,小确幸z7,华科飞跃手册,true,你好，欢迎问我关于香港PhD申请、夏令营面套和保研备选策略的问题。
106,银河冲浪手,华科飞跃手册,true,你好，欢迎问我关于顶尖PhD申请、科研积累和暑研选择的问题。
107,纳米小分队,华科飞跃手册,true,你好，欢迎问我关于纳米方向PhD申请、学术竞赛和海外交流的问题。
108,光波dispersion,华科飞跃手册,true,你好，欢迎问我关于光学方向硕博混申、顶尖选校和暑研经历的问题。
109,芯片味的茶,华科飞跃手册,true,你好，欢迎问我关于顶尖MS申请、暑研论文和选校策略的问题。
110,激光小王子,华科飞跃手册,true,你好，欢迎问我关于中等GPA申请、光学方向和务实选校的问题。
111,港湾小舟rv,华科飞跃手册,true,你好，欢迎问我关于香港研究型硕士、港校申请和暑期学校的问题。
112,元气弹bq,华科飞跃手册,true,你好，欢迎问我关于普通背景EE硕士申请和务实选校的问题。
113,解码小能手,华科飞跃手册,true,你好，欢迎问我关于低GPA申请策略、推荐信组合和保底选校的问题。
114,键盘敲敲敲,南科大飞跃手册,true,你好！如果你在犹豫考研还是出国，或者想了解计算机考研的流程和技巧，欢迎提问。
115,咖啡不加冰c,南科大飞跃手册,true,嗨！我曾以非顶尖三维拿到CMU录取，关于美国CS Master申请有什么问题都可以问我。
116,代码写不停xy,南科大飞跃手册,true,你好！如果你和我一样没有交换和论文经历但想冲击好学校，欢迎交流。
117,极客老方yd,南科大飞跃手册,true,嗨！关于CS申请中GPA、托福、暑研、文书等方面的问题欢迎提问。
118,安全研究员rx,南科大飞跃手册,true,嗨！如果你对CS Security方向的PhD申请感兴趣，或者条件一般但想试试PhD，欢迎聊聊。
119,鹿仔ECE冲,南科大飞跃手册,true,嗨！关于CMU ECE项目或者美国硕士申请流程有什么问题都可以问我。
120,医工交叉sr,南科大飞跃手册,true,你好！如果你对AI+医学交叉方向的PhD申请、gap year策略或暑研选择有疑问，欢迎交流。
121,保研小白zq,南科大飞跃手册,true,嗨！关于南科大本校保研流程、夏令营准备或境内升学选择有什么问题都可以问。
122,系统狂魔wd,南科大飞跃手册,true,嗨！关于美国CS硕士申请、MS vs PhD选择、或者美国/新加坡/香港的比较有什么问题都可以问。
123,浙软上岸ysh,南科大飞跃手册,true,你好！关于国内保研、夏令营简历筛选、面试准备等有什么问题都可以问。
124,NUS打工人yl,南科大飞跃手册,true,嗨！如果你对NUS MComp项目、港新CS硕士申请、或新加坡生活有疑问，欢迎交流。
125,中科大梦yl,南科大飞跃手册,true,你好！关于双非学校保研到名校的流程、夏令营筛选策略有什么问题都可以问。
126,CMU多面手yc,南科大飞跃手册,true,你好！关于MS/PhD选择、多线并行申请策略或CMU项目有什么问题都可以问。
127,赌博少女_yt,南科大飞跃手册,true,你好！如果你和我一样背景普通但想申请CS PhD，关于套磁、面试、科研经历积累都可以问我。
128,沙特体验官w,南科大飞跃手册,true,你好！如果你对KAUST VSRP科研实习项目或海外科研实习有兴趣，欢迎交流。
129,安卓小哥km,南科大飞跃手册,true,你好！如果你在纠结读研还是就业，或者想了解CS本科直接求职的经验，欢迎交流。
130,腾讯刷题王yh,南科大飞跃手册,true,嗨！关于互联网大厂面试、后台开发求职或者实习转正策略有什么问题都可以问。
131,Purdue宁神dn,南科大飞跃手册,true,你好！关于CS PhD面试准备、套磁策略和选校有什么问题都可以问我。
132,UCI搞基侠xy,南科大飞跃手册,true,你好！关于暑研项目选择、申请北美CS PhD的经验或培养计算机素养有什么问题都可以问。
133,暑研安利员xy2,南科大飞跃手册,true,嗨！关于暑研项目选择、推荐信策略或北美PhD申请规划有什么问题都可以问。
134,NEU安全侠rg,南科大飞跃手册,true,你好！关于CS Security方向PhD申请、选导师策略和申请材料有什么问题都可以问。
135,NEU找工人whf,南科大飞跃手册,true,嗨！关于美国CS硕士求职导向选校、NEU硅谷校区体验或签证BUG有什么问题都可以问。
136,设计转码云zx,南科大飞跃手册,true,你好！关于跨专业申请CS/ECE硕士、Berkeley交流或DIY申请有什么问题都可以问。
137,清华设计师tg,南科大飞跃手册,true,你好！关于跨界申请、清华保研、MIT交流或设计与工程方向选择有什么问题都可以问。
138,CMU数据蕾al,南科大飞跃手册,true,你好！关于CMU多项目申请策略、选校定位或美国CS硕士申请有什么问题都可以问。
139,阿尔托HCI柯,南科大飞跃手册,true,嗨！关于HCI方向申请、欧洲硕士项目或设计与科研方向选择有什么问题都可以问。
140,求职蚂蚁st,南科大飞跃手册,true,你好！关于CS本科求职、互联网大厂面试准备或实习策略有什么问题都可以问。
141,APS攻略xq,南科大飞跃手册,true,嗨！如果你对APS审核流程、欧陆CS硕士申请或KTH项目有疑问，欢迎交流。
142,北大菁英st2,南科大飞跃手册,true,你好！关于国内名校保研、夏令营面试准备或科研论文对保研的帮助有什么问题都可以问。
143,港大PM菁yj,南科大飞跃手册,true,你好！关于CS转产品经理、港新硕士申请或互联网产品岗求职有什么问题都可以问。
144,PPT选手zx,南科大飞跃手册,true,你好！关于CS美国硕士申请流程有什么问题都可以问。
145,Utah全奖zy,南科大飞跃手册,true,你好！关于AI Safety方向PhD申请、套磁策略或少量精申策略有什么问题都可以问。
146,系统菜狗sc,南科大飞跃手册,true,嗨！如果你觉得自己背景一般但想试试PhD，关于System方向申请和offer比较有什么问题都可以问。
147,环保清研er,南科大飞跃手册,true,你好！如果你正在考虑国内保研，对夏令营流程或清华深研院有疑问，欢迎交流。
148,模拟芯人rw,南科大飞跃手册,true,你好！如果你对IC设计方向保研、直博选择或清华面试有疑问，欢迎交流。
149,脑机接口wy,南科大飞跃手册,true,你好！如果你对美国PhD申请、推荐信策略或跨方向申请有疑问，欢迎交流。
150,航发冲天xw,南科大飞跃手册,true,你好！如果你对航空航天保研、清华/北大等名校夏令营有疑问，欢迎交流。
151,力学小白jq,南科大飞跃手册,true,你好！如果你在出国和保研之间犹豫，或对力学专业保研流程有疑问，欢迎交流。
152,学渣逆袭yh,南科大飞跃手册,true,你好！如果你GPA不高但仍想深造，或对联培直博有疑问，欢迎交流。
153,荷兰机器人rb,南科大飞跃手册,true,你好！如果你对机器人方向申请、欧洲硕士或美欧混申策略有疑问，欢迎交流。
154,光电暑研zk,南科大飞跃手册,true,你好！如果你对ECE Master申请、MS/PhD选择或暑研有疑问，欢迎交流。
155,数字芯片yz,南科大飞跃手册,true,你好！如果你对微电子保研、数字IC方向选择或夏令营策略有疑问，欢迎交流。
156,北大IC达人yj,南科大飞跃手册,true,你好！如果你对微电子保研选校、面试准备或IC设计方向选择有疑问，欢迎交流。
157,东大修士xg,南科大飞跃手册,true,你好！如果你对NUS PhD、东京大学申请流程或亚洲PhD有疑问，欢迎交流。
158,UMN力学zl,南科大飞跃手册,true,你好！如果你对力学系PhD申请、选校策略或SOP写作有疑问，欢迎交流。
159,圣母转码gc,南科大飞跃手册,true,你好！如果你对微电子转CS/ECE、圣母大学或就业导向选校有疑问，欢迎交流。
160,柔性电子h,南科大飞跃手册,true,你好！如果你觉得自己背景弱但想冲PhD，关于暑研策略和逆袭经验欢迎交流。
161,安堡微电mt,南科大飞跃手册,true,你好！如果你对ECE Master申请、语言准备或申请时间规划有疑问，欢迎交流。
162,厦大环科hw,南科大飞跃手册,true,你好！如果你对环境专业保研、夏令营对比或面试准备有疑问，欢迎交流。
163,哥大暑研jy,南科大飞跃手册,true,你好！如果你对哥大LDEO暑期实习、环境方向暑研或美国科研生活有疑问，欢迎交流。
164,水文博士yi,南科大飞跃手册,true,你好！如果你对环境方向PhD申请、境外交换或套磁策略有疑问，欢迎交流。
165,代尔夫特argue姐,南科大飞跃手册,true,你好！如果你收到拒信想argue，或对欧洲机械硕士申请有疑问，欢迎交流。
166,GaTech力学yz,南科大飞跃手册,true,你好！如果你对ME PhD申请、套磁方法或美国签证问题有疑问，欢迎交流。
167,中科院IC侠wz,南科大飞跃手册,true,你好！如果你对微电子保研面试准备或不同学校面试风格有疑问，欢迎交流。
168,港科联培ry,南科大飞跃手册,true,你好！如果你在纠结联培、自申还是保研，或对港科大PhD有疑问，欢迎交流。
169,市场大使hh,南科大飞跃手册,true,你好！如果你想做市场或产品经理方向的工作，或对面试准备有疑问，欢迎交流。
170,北大力学ym,南科大飞跃手册,true,你好！如果你对力学保研、北大夏令营面试或美国暑研有疑问，欢迎交流。
171,北航暑研hr,南科大飞跃手册,true,你好！如果你想了解不参加夏令营的保研路线，或对海外暑研转保研有疑问，欢迎交流。
172,哥大骑行侠wx,南科大飞跃手册,true,你好！如果你对哥大LDEO暑研项目的生活和科研细节有疑问，欢迎交流。
173,ETH机器人yz2,南科大飞跃手册,true,你好！如果你对ETH、机器人方向选校或欧美混申策略有疑问，欢迎交流。
174,海洋博士yao,南科大飞跃手册,true,你好！如果你对环境/海洋方向PhD申请、暑研获取或英语刷分有疑问，欢迎交流。
175,UCI电子jd,南科大飞跃手册,true,你好！如果你对DIY申请EE PhD、GRE/TOEFL准备或申请材料有疑问，欢迎交流。
176,UCLA机械tq,南科大飞跃手册,true,你好！如果你对ME PhD申请、多段科研经历积累或美国博士生活有疑问，欢迎交流。
177,CMU机器学zc,南科大飞跃手册,true,你好！如果你对跨专业申请AI/ML方向、CMU多项目申请或顶会论文对申请的作用有疑问，欢迎交流。
178,宾大ESE侠yy,南科大飞跃手册,true,你好！如果你对推荐信策略、全聚德后再申或PhD申请心态有疑问，欢迎交流。
179,UIC通信博wz2,南科大飞跃手册,true,你好！如果你在考虑出国读博、跨专业申请或PhD与Master的选择，欢迎交流。
180,光电科研hy,南科大飞跃手册,true,你好！如果你对大学课程学习方法、本科科研入门或如何找导师有疑问，欢迎交流。
181,感染研究喵yy,南科大飞跃手册,true,你好！如果你对欧洲PhD申请、program面试或如何寻找PhD position感兴趣，欢迎交流。
182,化学反应堆y,南科大飞跃手册,true,你好！如果你对化学PhD申请、学期交流科研或文书写作有疑问，欢迎交流。
183,化工跨界人zz,南科大飞跃手册,true,你好！如果你想跨专业申请英国硕士或对化工方向感兴趣，欢迎交流。
184,数值计算君zy,南科大飞跃手册,true,你好！如果你对数学系PhD申请、推荐信策略或成绩单的重要性有疑问，欢迎交流。
185,量子态观测xy,南科大飞跃手册,true,你好！如果你在考虑读物理PhD、中美读博差异或推荐信策略有疑问，欢迎交流。
186,港中文化学dj,南科大飞跃手册,true,你好！如果你对香港PhD申请、套磁信写作或面试技巧有疑问，欢迎交流。
187,光华套利手yy,南科大飞跃手册,true,你好！如果你对商科保研、北大光华申请或金融行业选择有疑问，欢迎交流。
188,公共政策人lw,南科大飞跃手册,true,你好！如果你在犹豫读研方向、考虑跨专业或工作后申请，欢迎交流。
189,控制论信徒nf,南科大飞跃手册,true,你好！如果你对数学转ECE/控制方向申请、DIY策略或暑研经历有疑问，欢迎交流。
190,名古屋环境cl,南科大飞跃手册,true,你好！如果你对日本SGU英语项目、教授内诺制度或欧陆申请有疑问，欢迎交流。
191,延毕数学人rj,南科大飞跃手册,true,你好！如果你成绩不突出但想申请欧洲硕士，或者对延毕有顾虑，欢迎交流。
192,深蓝潜水员ww,南科大飞跃手册,true,你好！如果你对海洋科学方向、大学课外探索或义工旅行有兴趣，欢迎交流。
193,布朗数学人yh,南科大飞跃手册,true,你好！如果你对数学PhD申请、伯克利交流体验或方向选择有疑问，欢迎交流。
194,华威神经元ym,南科大飞跃手册,true,你好！如果你对英国数学硕博项目、爱丁堡交流或先到先得策略有疑问，欢迎交流。
195,踩坑幸存者bz,南科大飞跃手册,true,你好！如果你的申请条件不理想但仍想冲PhD，或者遇到了暑研被鸽等困境，欢迎交流。
196,怒考化学生k,南科大飞跃手册,true,你好！如果你在考虑考研本校化学、出国受阻想考研、或想了解极限备考经验，欢迎交流。
197,北大物理一jj,南科大飞跃手册,true,你好！如果你对物理系保研清北、夏令营面试或直博选择有疑问，欢迎交流。
198,生物交叉侠l,南科大飞跃手册,true,你好！如果你对交叉方向PhD申请、MICCAI竞赛或套磁策略有疑问，欢迎交流。
199,ETH地球人lu,南科大飞跃手册,true,你好！如果你对地球科学方向申请、ETH硕士或PhD套磁策略有疑问，欢迎交流。
200,伯克利神经c,南科大飞跃手册,true,你好！如果你对神经科学PhD申请、伯克利长期交流或主动争取面试有疑问，欢迎交流。
201,跨考逆袭王h,南科大飞跃手册,true,你好！如果你在短时间备考、跨专业考研或数学复习策略方面有疑问，欢迎交流。
202,中科大微尺度jh,南科大飞跃手册,true,你好！如果你对物理系保研、中科大微尺度中心或夏令营面试有疑问，欢迎交流。
203,材料踩坑侠yf,南科大飞跃手册,true,你好！如果你的申请季充满波折、或者想了解保底校策略和套磁转offer经验，欢迎交流。
204,凝聚态老王yh,南科大飞跃手册,true,你好！如果你对物理PhD申请、GRE Subject备考或伯克利暑研有疑问，欢迎交流。
205,数分不放弃yf,南科大飞跃手册,true,你好！如果你对数学考研备考策略、复习计划制定或心态调整有疑问，欢迎交流。
206,游戏规则解读yc,南科大飞跃手册,true,你好！如果你想深入理解PhD申请的底层逻辑、推荐信策略或科研规划，欢迎交流。
207,BA转型选手zy,南科大飞跃手册,true,你好！如果你对商业分析硕士申请、金融数学方向或中介选择有疑问，欢迎交流。
208,PPT达人xy2,南科大飞跃手册,true,你好！如果你对数学系美国申请的完整流程有疑问，欢迎交流。
209,东大修士sh,南科大飞跃手册,true,你好！如果你对东京大学IME项目、日本留学或研究计划书写作有疑问，欢迎交流。
210,脑科学探路yj,南科大飞跃手册,true,你好！如果你在考虑做研究助理、毕业方向迷茫或想了解RA申请策略，欢迎交流。
211,宾大生工人z,南科大飞跃手册,true,你好！如果你对生物转工程方向PhD、主动争取面试或UCLA CSST暑研有疑问，欢迎交流。
212,KAUST脑科学j,南科大飞跃手册,true,你好！如果你对学术规划、生物信息转CS或KAUST PhD有疑问，欢迎交流。
213,凝聚态自救xc,南科大飞跃手册,true,你好！如果你对凝聚态理论方向、国内直博选择或物理面试准备有疑问，欢迎交流。
214,传媒少女cd,南科大飞跃手册,true,你好！如果你在考虑跨专业保研、金融方向选择或夏令营准备，欢迎提问。
215,法学冒险家gy,南科大飞跃手册,true,你好！关于金融转法学、跨专业保研北大或海外交流的问题欢迎交流。
216,金融卷王xy,南科大飞跃手册,true,嗨！关于金融保研、GPA提升策略或北大汇丰申请有什么问题都可以问。
217,金科状元hy,南科大飞跃手册,true,你好！关于金融科技方向保研、成绩提升或实习规划有什么问题都可以问。
218,港大统计侠dy,南科大飞跃手册,true,你好！关于统计方向PhD申请、香港学校RA经历或选专业有什么问题都可以问。
219,欧陆探索者mz,南科大飞跃手册,true,嗨！如果你对欧陆金融硕士、博科尼、法国高商或多地混申有疑问，欢迎交流。
220,哥大风控达人hm,南科大飞跃手册,true,你好！关于美国金融硕士申请、选校策略或文书定制有什么问题都可以问。
221,港新混申达人bw,南科大飞跃手册,true,嗨！关于港新金融硕士申请、留学地区选择或商科就业有什么问题都可以问。
222,NUS金工先锋fe,南科大飞跃手册,true,你好！关于NUS金融工程申请、提前批策略或大学整体规划有什么问题都可以问。
223,CMU数据分析师zc,南科大飞跃手册,true,你好！关于CMU BIDA/MISM项目、商业分析申请或金融转数据方向有什么问题都可以问。
224,PPT金工达人yl,南科大飞跃手册,true,你好！关于金融工程境外升学流程有什么问题都可以问。
